ID_PUBLISHER;PUBLISHER;HEADQUARTERS_COUNTRY;HEADQUARTERS_CITY;CREATION_DATE;NOTES
davilexgames;Davilex Games;The Netherlands;Houten;01/01/1997;"Ceased publishing video games in 2005."
davka;Davka;United States;Chicago;01/01/1982;"No longer publishes video games."
daybreakgamecompany;Daybreak Game Company;United States;California;01/01/1995;"Also a video game developer. Formerly known as Sony Online Entertainment."
dbsoft;dB-SOFT;Japan;Sapporo;01/01/1980;"Defunct in 2001."
deepsilver;Deep Silver;Germany;Munich;01/01/2002;"Label of Koch Media. Purchased video game developer Volition and the Metro franchise from THQ in 2013. Acquired by THQ Nordic in 2018."
delphinesoftwareinternational;Delphine Software International;France;Paris;01/01/1988;"Defunct in 2004."
delta4;Delta 4;UK;;01/01/1984;"Defunct in 1992."
destinationsoftware;Destination Software;United States;Moorestown;01/01/2001;"Used the label DSI Games. Acquired by GreenScreen Interactive Software in 2008."
destineer;Destineer;United States;Minnesota;01/01/2000;"Also a video game developer. Publishes under the Bold Games, MacSoft, and Atomic Games labels."
devolverdigital;Devolver Digital;United States;Austin;01/01/2008;""
digitalfantasia;Digital Fantasia;UK;Blackpool;01/01/1982;"Ceased publishing in 1983; defunct in 1991."
digitalintegration;Digital Integration;UK;Camberley;01/01/1982;"Acquired by Titus Interactive in 1998; defunct in 2005."
digitaljesters;Digital Jesters;UK;Welwyn Garden City;01/01/2003;"Defunct in 2006."
digitalleisure;Digital Leisure;Canada;Aurora;01/01/1997;""
digitalpictures;Digital Pictures;United States;San Mateo;01/01/1991;"Defunct in 1996."
dinamicmultimedia;Dinamic Multimedia;Spain;Madrid;01/01/1993;"Defunct in 2001."
dinamicsoftware;Dinamic Software;Spain;;01/01/1983;"Also a video game developer. Defunct in 1992."
disneyinteractivestudios;Disney Interactive Studios;United States;Glendale;01/01/1988;"Defunct in 2016."
dktronics;DK'Tronics;UK;Saffron Walden;01/01/1981;"Defunct in 1993."
domark;Domark;UK;London;01/01/1984;"Merged with Big Red Software, Simis, and Eidos Technologies to form Eidos Interactive in 1996."
doublefine;Double Fine;US;San Francisco;01/01/2000;"Acquired by Microsoft Game Studios"
dovetailgames;Dovetail Games;UK;Chatham;01/01/2008;""
dragondata;Dragon Data;UK;Wales;01/01/1980;"Division of Mettoy. Defunct in 1984."
dreamcatchergames;DreamCatcher Games;Canada;Toronto;01/01/1996;"Acquired by JoWooD Productions. Folded into Nordic Games in 2011."
dreamworksinteractive;DreamWorks Interactive;United States;Los Angeles;01/01/1995;"Joint venture between DreamWorks and Microsoft. Acquired by Electronic Arts in 2000."
drosoft;DROsoft;Spain;Madrid;01/01/1986;"Acquired by Electronic Arts in 1994."
dtpentertainment;Dtp entertainment;Germany;Hamburg;01/01/1995;""
dynamicplanning;Dynamic Planning;Japan;Tokyo;01/01/1974;"Also known as Dynamic Kikaku. No longer publishes video games."
dynamix;Dynamix;United States;Eugene;01/01/1984;"Acquired by Sierra in 1990; defunct in 2001."
easygamestation;EasyGameStation;Japan;;01/01/2001;""
ecolesoftware;Ecole Software;Japan;Nishinomiya;01/01/1989;"No longer publishes video games."
eduware;Edu-Ware;United States;Agoura Hills;01/01/1979;"Defunct in 1985."
egames;eGames;United States;Langhorne;01/01/1992;"Published games under the Cinemaware Marquee label. Acquired by Tamino Minerals in 2012."
electricdreamssoftware;Electric Dreams Software;UK;Southampton;01/01/1985;"Defunct in 1989."
electronicarts;Electronic Arts;United States;Redwood City;01/01/1982;"Also a video game developer."
electronicartsvictor;Electronic Arts Victor;Japan;;01/01/1993;"Joint venture of Electronic Arts and Victor Interactive. Defunct in 2003."
electrobrain;Electro Brain;United States;Salt Lake City;01/01/1990;"Defunct in 1998."
theelektrikkeyboard;The Elektrik Keyboard;United States;Chicago;01/01/1978;"Stopped publishing video games in 1979."
elfcorporation;ELF Corporation;Japan;Tokyo;01/01/1989;"Defunct in 2015."
elitesystems;Elite Systems;UK;Lichfield;01/01/1984;""
empireinteractive;Empire Interactive;UK;London;01/01/1987;"Defunct in 2009."
englishsoftware;English Software;UK;Manchester;01/01/1982;"Defunct in 1987."
enix;Enix;Japan;Tokyo;01/01/1975;"Merged with Square as Square Enix."
enlightsoftware;Enlight Software;United States;;01/01/1993;""
enterbrain;Enterbrain;Japan;Tokyo;01/01/1987;"Division of Kadokawa Corporation; its game business was merged into Kadokawa Games in 2009."
durellsoftware;Durell Software;UK;Taunton;01/01/1983;"Exited the video game industry in 1987."
edgegames;Edge Games;United States;Pasadena;01/01/1990;""
eighting;Eighting;Japan;Tokyo;01/01/1993;"Acquired by COLOPL in 2016. No longer self-publishes video games."
electrictransit;Electric Transit;United States;Thousand Oaks;01/01/1985;"Defunct in 1987."
emeraldsoftware;Emerald Software;Ireland;Waterford;01/01/1988;"Defunct in 1991."
encoreinc;Encore, Inc.;United States;Minneapolis;01/01/1994;"Acquired by Speed Commerce in 2002, WYNIT Distribution LLC in 2014. Encore acquired Viva Media."
entertainmentsoftwarepublishing;Entertainment Software Publishing;Japan;;01/01/1997;"Also known as ESP. Acquired by D3 Publisher, which continued to use it as a label until 2010."
enmasseentertainment;En Masse Entertainment;United States;Seattle;01/01/2010;""
eolith;Eolith;South Korea;Seoul;01/01/1996;"Defunct in 2005."
eondigitalentertainment;Eon Digital Entertainment;UK;London;01/01/2000;"Defunct in 2002."
epicgames;Epic Games;United States;Potomac;01/01/1991;"Also a video game developer. Known as Potomac Computer Systems until 1992, and Epic MegaGames until 1999."
epochco;Epoch Co.;Japan;Tokyo;01/01/1958;"No longer publishes video games."
epyx;Epyx;United States;Chappaqua;01/01/1978;"Also a video game developer."
ereinformatique;ERE Informatique;France;;01/01/1981;"Acquired by Infogrames in 1987."
esaformerlysoftmax;ESA (formerly Softmax);South Korea;;01/01/1994;"left from game business"
europress;Europress;UK;Bath;01/01/1965;"Acquired by Hasbro Interactive in 1999."
eushully;Eushully;Japan;Sapporo;01/01/1998;"Team within Arkham Products until 2005; label of Eukleia since then."
examu;Examu;Japan;Tokyo;01/01/1999;"Known as Yuki Enterprise until 2007."
exidy;Exidy;United States;Sunnyvale;01/01/1974;"Defunct in 1989."
fc;F&C;Japan;;01/01/1987;"Known as Ides until 1997; published games under the FairyTale and Cocktail Soft labels until then."
fasa;FASA;United States;;01/01/1980;"Ended video game development and publishing 2012"
fabtek;Fabtek;United States;Redmond;01/01/1987;"Defunct in 1999."
fandom;Fandom;;;01/01/2004;""
fairchildsemiconductor;Fairchild Semiconductor;United States;Sunnyvale;01/01/1957;"Initially a division of Fairchild Camera and Instrument. Acquired by Schlumberger in 1979, then by National Semiconductor in 1987; regained independence in 1997; acquired by ON Semiconductor in 2016."
familysoft;Family Soft;Japan;Tokyo;01/01/1987;""
fantasysoftware;Fantasy Software;UK;Cheltenham;01/01/1983;"Defunct in 1985."
fasterthanlight;Faster Than Light;UK;;01/01/1986;"Label of Gargoyle Games. Defunct in 1989."
fathammer;Fathammer;Finland;;01/01/2002;"Acquired by Telcogames in 2006."
firebirdsoftware;Firebird Software;UK;London;01/01/1983;"Defunct in 1989 upon MicroProse's acquisition of Telecomsoft."
firststarsoftware;First Star Software;United States;Chappaqua;01/01/1982;"Acquired by BBG Entertainment in 2018 and their games are now published by BBG Entertainment."
feralinteractive;Feral Interactive;UK;London;01/01/1999;"Publishes Macintosh and Linux games"
fillincafe;Fill-in-Cafe;Japan;;01/01/1987;"Known as Team Cross Wonder until 1989. Defunct in 1998."
fisherprice;Fisher Price;United States;East Aurora;01/01/1930;"Acquired by Mattel in 1993. No longer publishes video games."
fishtankinteractive;Fishtank Interactive;Germany;Ravensburg;01/01/2000;"Publishing Label of Ravensburger Interactive. Acquired alongside parent by JoWooD Productions in 2002."
flairsoftware;Flair Software;UK;Newcastle upon Tyne;01/01/1990;"Last game published in 1999."
flightplan;Flight-Plan;Japan;Gifu;01/01/1989;"Defunct in 2010."
flyingedge;Flying Edge;United States;Glen Cove;01/01/1992;"Label of Acclaim Entertainment. Defunct in 1994."
focushomeinteractive;Focus Home Interactive;France;Paris;01/01/1996;""
focusmultimedia;Focus Multimedia;UK;Rugeley;01/01/1995;""
formgen;FormGen;United States;Scottsdale;01/01/1987;"Acquired by GT Interactive in 1996."
thefourthdimension;The Fourth Dimension;UK;;01/01/1989;"Also known as The 4th Dimension or 4D. Defunct in 2004."
foxinteractive;Fox Interactive;United States;Los Angeles;01/01/1982;"Also a video game developer. Acquired by Activision Blizzard."
freeversesoftware;Freeverse Software;United States;New York City;01/01/1994;"Acquired by Ngmoco in 2010."
frenchbread;French Bread;Japan;Tokyo;01/01/1998;"Formerly known as Watanabe Seisakusho."
froggo;Froggo;California;Sunnyvale;01/01/1987;"Defunct in 1989."
fromsoftware;FromSoftware;Japan;Tokyo;01/01/1986;"Subsidiary of Kadokawa Corporation"
frontwing;Front Wing;Japan;;01/01/2000;""
ftlgames;FTL Games;United States;San Diego;01/01/1982;"Defunct in 1996."
fujisankeicommunicationsinternational;Fujisankei Communications International;United States;New York;01/01/1986;"No longer publishes video games"
fujitsu;Fujitsu;Japan;Tokyo;01/01/1935;"No longer publishes video games."
fullongames;Full On Games;Japan;Tokyo;01/01/1996;"Also known as FOG."
funcom;Funcom;Norway;Oslo;01/01/1993;"Also a video game developer."
futuregames;Future Games;Czech Republic;Beroun;01/01/1996;"Defunct in 2011."
fuuki;Fuuki;Japan;Kyoto;01/01/1977;"No longer publishes video games."
gcollections;G-Collections;Nevada;Las Vegas;01/01/2001;"Acquired by JAST USA in 2005; defunct in 2015."
grev;G.rev;Japan;;01/01/2000;""
gaelco;Gaelco;Spain;Barcelona;01/01/1981;"Dissolved in 2007"
gaijinworks;Gaijinworks;United States;Redding;01/01/2006;""
gainax;Gainax;Japan;Tokyo;01/01/1984;"No longer publishes video games."
gakken;Gakken;Japan;Tokyo;01/01/1947;"No longer publishes video games."
gamecock;Gamecock;United States;Austin;01/01/2007;"Acquired by SouthPeak Games."
gameloft;Gameloft;France;Paris;01/01/2000;""
gamesbyapollo;Games by Apollo;United States;Richardson;01/01/1981;"Defunct in 1983."
gamesworkshop;Games Workshop;UK;Nottingham;01/01/1975;"Ceased publishing video games in 1985."
gametek;GameTek;United States;North Miami Beach;01/01/1987;"Publishing label of IJE. Defunct in 1998."
gamearts;Game Arts;Japan;Tokyo;01/01/1985;"Acquired by GungHo Online Entertainment in 2005 and their games are now published by GungHo Online Entertainment."
thegamefactory;The Game Factory;Denmark;Aarhus;01/01/2004;"Defunct."
gamepark;Game Park;South Korea;;01/01/1996;"Defunct in 2007."
gamestudio;Game Studio;Japan;Tokyo;01/01/1985;"Defunct in 2015."
gargoylegames;Gargoyle Games;UK;Dudley;01/01/1983;"Defunct in 1987."
